alpha,L1,L2,L3
0.171000,-0.441107,0.342821,-1.960695
0.172000,-0.442126,0.343439,-1.960484
0.173000,-0.443142,0.344053,-1.960274
0.174000,-0.444155,0.344666,-1.960063
0.175000,-0.445165,0.345276,-1.959853
0.176000,-0.446173,0.345884,-1.959643
0.177000,-0.447177,0.346490,-1.959433
0.178000,-0.448179,0.347093,-1.959224
0.179000,-0.449178,0.347694,-1.959015
0.180000,-0.450175,0.348293,-1.958805
0.181000,-0.451168,0.348889,-1.958596
0.182000,-0.452160,0.349483,-1.958388
0.183000,-0.453148,0.350076,-1.958179
0.184000,-0.454134,0.350666,-1.957971
0.185000,-0.455117,0.351253,-1.957763
0.186000,-0.456098,0.351839,-1.957555
0.187000,-0.457076,0.352423,-1.957347
0.188000,-0.458052,0.353004,-1.957140
0.189000,-0.459025,0.353584,-1.956932
0.190000,-0.459996,0.354161,-1.956725
0.191000,-0.460964,0.354737,-1.956518
0.192000,-0.461930,0.355310,-1.956312
0.193000,-0.462894,0.355882,-1.956105
0.194000,-0.463855,0.356452,-1.955899
0.195000,-0.464813,0.357019,-1.955693
0.196000,-0.465770,0.357585,-1.955487
0.197000,-0.466724,0.358149,-1.955281
0.198000,-0.467676,0.358711,-1.955076
0.199000,-0.468626,0.359271,-1.954871
0.200000,-0.469573,0.359829,-1.954665
0.201000,-0.470518,0.360385,-1.954461
0.202000,-0.471461,0.360940,-1.954256
0.203000,-0.472402,0.361492,-1.954052
0.204000,-0.473341,0.362043,-1.953847
0.205000,-0.474278,0.362592,-1.953643
0.206000,-0.475212,0.363140,-1.953439
0.207000,-0.476144,0.363685,-1.953236
0.208000,-0.477075,0.364229,-1.953032
0.209000,-0.478003,0.364771,-1.952829
0.210000,-0.478929,0.365312,-1.952626
0.211000,-0.479853,0.365851,-1.952423
0.212000,-0.480775,0.366388,-1.952220
0.213000,-0.481695,0.366923,-1.952018
0.214000,-0.482614,0.367457,-1.951816
0.215000,-0.483530,0.367989,-1.951614
0.216000,-0.484444,0.368520,-1.951412
0.217000,-0.485356,0.369049,-1.951210
0.218000,-0.486267,0.369576,-1.951009
0.219000,-0.487175,0.370102,-1.950807
0.220000,-0.488082,0.370626,-1.950606
0.221000,-0.488987,0.371149,-1.950405
0.222000,-0.489890,0.371670,-1.950205
0.223000,-0.490791,0.372190,-1.950004
0.224000,-0.491690,0.372708,-1.949804
0.225000,-0.492588,0.373225,-1.949604
0.226000,-0.493484,0.373740,-1.949404
0.227000,-0.494378,0.374253,-1.949204
0.228000,-0.495270,0.374765,-1.949005
0.229000,-0.496161,0.375276,-1.948805
0.230000,-0.497050,0.375785,-1.948606
0.231000,-0.497937,0.376293,-1.948407
0.232000,-0.498822,0.376800,-1.948209
0.233000,-0.499706,0.377305,-1.948010
0.234000,-0.500588,0.377808,-1.947812
0.235000,-0.501468,0.378310,-1.947613
0.236000,-0.502347,0.378811,-1.947416
0.237000,-0.503224,0.379311,-1.947218
0.238000,-0.504100,0.379809,-1.947020
0.239000,-0.504974,0.380306,-1.946823
0.240000,-0.505846,0.380801,-1.946626
0.241000,-0.506717,0.381295,-1.946429
0.242000,-0.507586,0.381788,-1.946232
0.243000,-0.508454,0.382279,-1.946035
0.244000,-0.509320,0.382770,-1.945839
0.245000,-0.510185,0.383258,-1.945643
0.246000,-0.511048,0.383746,-1.945447
0.247000,-0.511909,0.384232,-1.945251
0.248000,-0.512769,0.384717,-1.945055
0.249000,-0.513628,0.385201,-1.944860
0.250000,-0.514485,0.385684,-1.944664
0.251000,-0.515341,0.386165,-1.944469
0.252000,-0.516195,0.386645,-1.944274
0.253000,-0.517048,0.387124,-1.944080
0.254000,-0.517899,0.387602,-1.943885
0.255000,-0.518749,0.388078,-1.943691
0.256000,-0.519598,0.388554,-1.943497
0.257000,-0.520445,0.389028,-1.943303
0.258000,-0.521291,0.389501,-1.943109
0.259000,-0.522135,0.389973,-1.942916
0.260000,-0.522979,0.390443,-1.942722
0.261000,-0.523820,0.390913,-1.942529
0.262000,-0.524661,0.391381,-1.942336
0.263000,-0.525500,0.391848,-1.942143
0.264000,-0.526338,0.392314,-1.941951
0.265000,-0.527174,0.392779,-1.941758
0.266000,-0.528009,0.393243,-1.941566
0.267000,-0.528843,0.393706,-1.941374
0.268000,-0.529676,0.394168,-1.941182
0.269000,-0.530507,0.394628,-1.940990
0.270000,-0.531337,0.395088,-1.940799
0.271000,-0.532166,0.395546,-1.940607
0.272000,-0.532993,0.396003,-1.940416
0.273000,-0.533820,0.396460,-1.940225
0.274000,-0.534645,0.396915,-1.940035
0.275000,-0.535469,0.397369,-1.939844
0.276000,-0.536291,0.397822,-1.939654
0.277000,-0.537113,0.398274,-1.939463
0.278000,-0.537933,0.398726,-1.939273
0.279000,-0.538752,0.399176,-1.939084
0.280000,-0.539570,0.399625,-1.938894
0.281000,-0.540387,0.400073,-1.938705
0.282000,-0.541203,0.400520,-1.938515
0.283000,-0.542017,0.400966,-1.938326
0.284000,-0.542830,0.401411,-1.938137
0.285000,-0.543643,0.401855,-1.937949
0.286000,-0.544454,0.402298,-1.937760
0.287000,-0.545264,0.402741,-1.937572
0.288000,-0.546072,0.403182,-1.937383
0.289000,-0.546880,0.403622,-1.937195
0.290000,-0.547687,0.404061,-1.937008
0.291000,-0.548492,0.404500,-1.936820
0.292000,-0.549297,0.404937,-1.936633
0.293000,-0.550100,0.405374,-1.936445
0.294000,-0.550903,0.405809,-1.936258
0.295000,-0.551704,0.406244,-1.936071
0.296000,-0.552504,0.406678,-1.935885
0.297000,-0.553303,0.407111,-1.935698
0.298000,-0.554102,0.407542,-1.935512
0.299000,-0.554899,0.407974,-1.935325
0.300000,-0.555695,0.408404,-1.935139
0.301000,-0.556490,0.408833,-1.934954
0.302000,-0.557284,0.409261,-1.934768
0.303000,-0.558077,0.409689,-1.934582
0.304000,-0.558869,0.410116,-1.934397
0.305000,-0.559660,0.410541,-1.934212
0.306000,-0.560450,0.410966,-1.934027
0.307000,-0.561240,0.411390,-1.933842
0.308000,-0.562028,0.411814,-1.933658
0.309000,-0.562815,0.412236,-1.933473
0.310000,-0.563601,0.412657,-1.933289
0.311000,-0.564387,0.413078,-1.933105
0.312000,-0.565171,0.413498,-1.932921
0.313000,-0.565954,0.413917,-1.932738
0.314000,-0.566737,0.414335,-1.932554
0.315000,-0.567519,0.414753,-1.932371
0.316000,-0.568299,0.415169,-1.932188
0.317000,-0.569079,0.415585,-1.932005
0.318000,-0.569858,0.416000,-1.931822
0.319000,-0.570636,0.416415,-1.931639
0.320000,-0.571413,0.416828,-1.931457
0.321000,-0.572189,0.417241,-1.931275
0.322000,-0.572964,0.417652,-1.931092
0.323000,-0.573739,0.418064,-1.930911
0.324000,-0.574512,0.418474,-1.930729
0.325000,-0.575285,0.418883,-1.930547
0.326000,-0.576057,0.419292,-1.930366
0.327000,-0.576828,0.419700,-1.930185
0.328000,-0.577598,0.420107,-1.930004
0.329000,-0.578367,0.420514,-1.929823
0.330000,-0.579136,0.420920,-1.929642
0.331000,-0.579903,0.421325,-1.929462
0.332000,-0.580670,0.421729,-1.929281
0.333000,-0.581436,0.422133,-1.929101
0.334000,-0.582201,0.422536,-1.928921
0.335000,-0.582965,0.422938,-1.928741
0.336000,-0.583729,0.423339,-1.928561
0.337000,-0.584492,0.423740,-1.928382
0.338000,-0.585254,0.424140,-1.928203
0.339000,-0.586015,0.424539,-1.928024
0.340000,-0.586775,0.424937,-1.927845
0.341000,-0.587535,0.425335,-1.927666
0.342000,-0.588293,0.425732,-1.927487
0.343000,-0.589051,0.426129,-1.927309
0.344000,-0.589809,0.426525,-1.927130
0.345000,-0.590565,0.426920,-1.926952
0.346000,-0.591321,0.427314,-1.926774
0.347000,-0.592076,0.427708,-1.926597
0.348000,-0.592830,0.428101,-1.926419
0.349000,-0.593584,0.428493,-1.926242
0.350000,-0.594336,0.428885,-1.926064
0.351000,-0.595088,0.429276,-1.925887
0.352000,-0.595840,0.429666,-1.925710
0.353000,-0.596590,0.430056,-1.925534
0.354000,-0.597340,0.430445,-1.925357
0.355000,-0.598089,0.430833,-1.925181
0.356000,-0.598838,0.431221,-1.925004
0.357000,-0.599585,0.431608,-1.924828
0.358000,-0.600332,0.431995,-1.924652
0.359000,-0.601078,0.432381,-1.924477
0.360000,-0.601824,0.432766,-1.924301
0.361000,-0.602569,0.433150,-1.924126
0.362000,-0.603313,0.433534,-1.923950
0.363000,-0.604057,0.433918,-1.923775
0.364000,-0.604800,0.434300,-1.923601
0.365000,-0.605542,0.434682,-1.923426
0.366000,-0.606283,0.435064,-1.923251
0.367000,-0.607024,0.435445,-1.923077
0.368000,-0.607764,0.435825,-1.922903
0.369000,-0.608504,0.436204,-1.922729
0.370000,-0.609243,0.436584,-1.922555
0.371000,-0.609981,0.436962,-1.922381
0.372000,-0.610718,0.437340,-1.922207
0.373000,-0.611455,0.437717,-1.922034
0.374000,-0.612191,0.438094,-1.921861
0.375000,-0.612927,0.438470,-1.921688
0.376000,-0.613662,0.438845,-1.921515
0.377000,-0.614396,0.439220,-1.921342
0.378000,-0.615130,0.439595,-1.921169
0.379000,-0.615863,0.439968,-1.920997
0.380000,-0.616596,0.440341,-1.920825
0.381000,-0.617328,0.440714,-1.920653
0.382000,-0.618059,0.441086,-1.920481
0.383000,-0.618789,0.441458,-1.920309
0.384000,-0.619520,0.441829,-1.920137
0.385000,-0.620249,0.442199,-1.919966
0.386000,-0.620978,0.442569,-1.919795
0.387000,-0.621706,0.442938,-1.919624
0.388000,-0.622434,0.443307,-1.919453
0.389000,-0.623161,0.443675,-1.919282
0.390000,-0.623887,0.444042,-1.919111
0.391000,-0.624613,0.444410,-1.918941
0.392000,-0.625339,0.444776,-1.918771
0.393000,-0.626063,0.445142,-1.918600
0.394000,-0.626787,0.445508,-1.918431
0.395000,-0.627511,0.445873,-1.918261
0.396000,-0.628234,0.446237,-1.918091
0.397000,-0.628957,0.446601,-1.917922
0.398000,-0.629678,0.446964,-1.917752
0.399000,-0.630400,0.447327,-1.917583
0.400000,-0.631121,0.447689,-1.917414
0.401000,-0.631841,0.448051,-1.917245
0.402000,-0.632561,0.448412,-1.917077
0.403000,-0.633280,0.448773,-1.916908
0.404000,-0.633998,0.449133,-1.916740
0.405000,-0.634717,0.449493,-1.916572
0.406000,-0.635434,0.449852,-1.916403
0.407000,-0.636151,0.450211,-1.916236
0.408000,-0.636868,0.450570,-1.916068
0.409000,-0.637584,0.450927,-1.915900
0.410000,-0.638299,0.451285,-1.915733
0.411000,-0.639014,0.451641,-1.915566
0.412000,-0.639728,0.451998,-1.915399
0.413000,-0.640442,0.452353,-1.915232
0.414000,-0.641155,0.452709,-1.915065
0.415000,-0.641868,0.453064,-1.914898
0.416000,-0.642581,0.453418,-1.914732
0.417000,-0.643293,0.453772,-1.914566
0.418000,-0.644004,0.454125,-1.914399
0.419000,-0.644715,0.454478,-1.914233
0.420000,-0.645425,0.454831,-1.914068
0.421000,-0.646135,0.455183,-1.913902
0.422000,-0.646844,0.455534,-1.913736
0.423000,-0.647553,0.455885,-1.913571
0.424000,-0.648261,0.456236,-1.913406
0.425000,-0.648969,0.456586,-1.913241
0.426000,-0.649677,0.456936,-1.913076
0.427000,-0.650384,0.457285,-1.912911
0.428000,-0.651090,0.457634,-1.912747
0.429000,-0.651796,0.457982,-1.912582
0.430000,-0.652502,0.458330,-1.912418
0.431000,-0.653207,0.458677,-1.912254
0.432000,-0.653911,0.459024,-1.912090
0.433000,-0.654615,0.459371,-1.911926
0.434000,-0.655319,0.459717,-1.911762
0.435000,-0.656022,0.460062,-1.911599
0.436000,-0.656725,0.460407,-1.911436
0.437000,-0.657427,0.460752,-1.911272
0.438000,-0.658129,0.461097,-1.911109
0.439000,-0.658830,0.461440,-1.910947
0.440000,-0.659531,0.461784,-1.910784
0.441000,-0.660232,0.462127,-1.910621
0.442000,-0.660932,0.462470,-1.910459
0.443000,-0.661631,0.462812,-1.910297
0.444000,-0.662330,0.463154,-1.910134
0.445000,-0.663029,0.463495,-1.909972
0.446000,-0.663727,0.463836,-1.909811
0.447000,-0.664425,0.464176,-1.909649
0.448000,-0.665122,0.464516,-1.909488
0.449000,-0.665819,0.464856,-1.909326
0.450000,-0.666516,0.465195,-1.909165
0.451000,-0.667212,0.465534,-1.909004
0.452000,-0.667908,0.465873,-1.908843
0.453000,-0.668603,0.466211,-1.908682
0.454000,-0.669298,0.466548,-1.908522
0.455000,-0.669992,0.466885,-1.908361
0.456000,-0.670686,0.467222,-1.908201
0.457000,-0.671380,0.467559,-1.908041
0.458000,-0.672073,0.467895,-1.907881
0.459000,-0.672766,0.468230,-1.907721
0.460000,-0.673458,0.468566,-1.907561
0.461000,-0.674150,0.468901,-1.907402
0.462000,-0.674842,0.469235,-1.907242
0.463000,-0.675533,0.469569,-1.907083
0.464000,-0.676223,0.469903,-1.906924
0.465000,-0.676914,0.470236,-1.906765
0.466000,-0.677604,0.470569,-1.906606
0.467000,-0.678293,0.470901,-1.906448
0.468000,-0.678982,0.471234,-1.906289
0.469000,-0.679671,0.471565,-1.906131
0.470000,-0.680359,0.471897,-1.905973
0.471000,-0.681047,0.472228,-1.905814
0.472000,-0.681735,0.472558,-1.905657
0.473000,-0.682422,0.472889,-1.905499
0.474000,-0.683109,0.473219,-1.905341
0.475000,-0.683795,0.473548,-1.905184
0.476000,-0.684481,0.473877,-1.905026
0.477000,-0.685167,0.474206,-1.904869
0.478000,-0.685852,0.474535,-1.904712
0.479000,-0.686537,0.474863,-1.904555
0.480000,-0.687222,0.475190,-1.904399
0.481000,-0.687906,0.475518,-1.904242
0.482000,-0.688590,0.475845,-1.904086
0.483000,-0.689273,0.476171,-1.903929
0.484000,-0.689956,0.476498,-1.903773
0.485000,-0.690639,0.476824,-1.903617
0.486000,-0.691321,0.477149,-1.903461
0.487000,-0.692003,0.477474,-1.903306
0.488000,-0.692685,0.477799,-1.903150
0.489000,-0.693366,0.478124,-1.902995
0.490000,-0.694047,0.478448,-1.902839
0.491000,-0.694727,0.478772,-1.902684
0.492000,-0.695408,0.479095,-1.902529
0.493000,-0.696087,0.479418,-1.902374
0.494000,-0.696767,0.479741,-1.902220
0.495000,-0.697446,0.480064,-1.902065
0.496000,-0.698125,0.480386,-1.901911
0.497000,-0.698803,0.480707,-1.901756
0.498000,-0.699481,0.481029,-1.901602
0.499000,-0.700159,0.481350,-1.901448
0.500000,-0.700836,0.481671,-1.901294
0.501000,-0.701513,0.481991,-1.901141
0.502000,-0.702190,0.482311,-1.900987
0.503000,-0.702866,0.482631,-1.900834
0.504000,-0.703542,0.482951,-1.900680
0.505000,-0.704218,0.483270,-1.900527
0.506000,-0.704893,0.483589,-1.900374
0.507000,-0.705568,0.483907,-1.900221
0.508000,-0.706243,0.484225,-1.900069
0.509000,-0.706917,0.484543,-1.899916
0.510000,-0.707591,0.484861,-1.899764
0.511000,-0.708265,0.485178,-1.899612
0.512000,-0.708938,0.485495,-1.899459
0.513000,-0.709611,0.485811,-1.899307
0.514000,-0.710283,0.486128,-1.899156
0.515000,-0.710956,0.486444,-1.899004
0.516000,-0.711628,0.486759,-1.898852
0.517000,-0.712299,0.487074,-1.898701
0.518000,-0.712971,0.487390,-1.898550
0.519000,-0.713642,0.487704,-1.898398
0.520000,-0.714312,0.488019,-1.898247
0.521000,-0.714983,0.488333,-1.898096
0.522000,-0.715653,0.488647,-1.897946
0.523000,-0.716322,0.488960,-1.897795
0.524000,-0.716992,0.489273,-1.897645
0.525000,-0.717661,0.489586,-1.897494
0.526000,-0.718330,0.489899,-1.897344
0.527000,-0.718998,0.490211,-1.897194
0.528000,-0.719666,0.490523,-1.897044
0.529000,-0.720334,0.490835,-1.896894
0.530000,-0.721002,0.491146,-1.896745
0.531000,-0.721669,0.491457,-1.896595
0.532000,-0.722336,0.491768,-1.896446
0.533000,-0.723002,0.492078,-1.896297
0.534000,-0.723669,0.492389,-1.896148
0.535000,-0.724334,0.492699,-1.895999
0.536000,-0.725000,0.493008,-1.895850
0.537000,-0.725665,0.493318,-1.895701
0.538000,-0.726330,0.493627,-1.895553
0.539000,-0.726995,0.493936,-1.895404
0.540000,-0.727660,0.494244,-1.895256
0.541000,-0.728324,0.494552,-1.895108
0.542000,-0.728988,0.494860,-1.894960
0.543000,-0.729651,0.495168,-1.894812
0.544000,-0.730314,0.495475,-1.894665
0.545000,-0.730977,0.495782,-1.894517
0.546000,-0.731640,0.496089,-1.894369
0.547000,-0.732302,0.496396,-1.894222
0.548000,-0.732964,0.496702,-1.894075
0.549000,-0.733626,0.497008,-1.893928
0.550000,-0.734287,0.497314,-1.893781
0.551000,-0.734948,0.497619,-1.893634
0.552000,-0.735609,0.497925,-1.893488
0.553000,-0.736270,0.498230,-1.893341
0.554000,-0.736930,0.498534,-1.893195
0.555000,-0.737590,0.498839,-1.893049
0.556000,-0.738250,0.499143,-1.892903
0.557000,-0.738909,0.499447,-1.892757
0.558000,-0.739568,0.499750,-1.892611
0.559000,-0.740227,0.500054,-1.892465
0.560000,-0.740885,0.500357,-1.892320
0.561000,-0.741544,0.500659,-1.892174
0.562000,-0.742201,0.500962,-1.892029
0.563000,-0.742859,0.501264,-1.891884
0.564000,-0.743516,0.501566,-1.891739
0.565000,-0.744174,0.501868,-1.891594
0.566000,-0.744830,0.502170,-1.891449
0.567000,-0.745487,0.502471,-1.891304
0.568000,-0.746143,0.502772,-1.891160
0.569000,-0.746799,0.503073,-1.891016
0.570000,-0.747455,0.503373,-1.890871
