alpha,L1,L2,L3
0.715000,-0.839608,0.544708,-1.871279
0.716000,-0.840223,0.544980,-1.871153
0.717000,-0.840838,0.545252,-1.871026
0.718000,-0.841453,0.545524,-1.870900
0.719000,-0.842067,0.545796,-1.870774
0.720000,-0.842681,0.546068,-1.870648
0.721000,-0.843294,0.546339,-1.870522
0.722000,-0.843908,0.546610,-1.870396
0.723000,-0.844521,0.546881,-1.870270
0.724000,-0.845133,0.547153,-1.870144
0.725000,-0.845746,0.547423,-1.870019
0.726000,-0.846358,0.547694,-1.869894
0.727000,-0.846970,0.547965,-1.869768
0.728000,-0.847581,0.548235,-1.869643
0.729000,-0.848192,0.548506,-1.869518
0.730000,-0.848803,0.548776,-1.869393
0.731000,-0.849414,0.549046,-1.869268
0.732000,-0.850024,0.549316,-1.869143
0.733000,-0.850634,0.549585,-1.869019
0.734000,-0.851244,0.549855,-1.868894
0.735000,-0.851853,0.550125,-1.868770
0.736000,-0.852462,0.550394,-1.868646
0.737000,-0.853071,0.550663,-1.868521
0.738000,-0.853679,0.550932,-1.868397
0.739000,-0.854287,0.551201,-1.868273
0.740000,-0.854895,0.551470,-1.868149
0.741000,-0.855503,0.551739,-1.868026
0.742000,-0.856110,0.552007,-1.867902
0.743000,-0.856717,0.552276,-1.867778
0.744000,-0.857323,0.552544,-1.867655
0.745000,-0.857929,0.552812,-1.867532
0.746000,-0.858535,0.553080,-1.867408
0.747000,-0.859141,0.553348,-1.867285
0.748000,-0.859746,0.553616,-1.867162
0.749000,-0.860351,0.553883,-1.867039
0.750000,-0.860956,0.554151,-1.866917
0.751000,-0.861560,0.554418,-1.866794
0.752000,-0.862164,0.554686,-1.866671
0.753000,-0.862768,0.554953,-1.866549
0.754000,-0.863371,0.555220,-1.866427
0.755000,-0.863974,0.555487,-1.866304
0.756000,-0.864577,0.555753,-1.866182
0.757000,-0.865179,0.556020,-1.866060
0.758000,-0.865781,0.556286,-1.865938
0.759000,-0.866383,0.556553,-1.865816
